Feature,Importance
Activity_corrected_to_sampling_date,0.48470163
Parts_encoded,0.32572323
Soil_profile_number,0.2264665
Inventory,0.22350505
Inventory_corrected_to_sampling_date,0.17698257
Maximum_act,0.14536974
Middle_sampling_soil_depth,0.13774039
modMEXT_Cs137_by_Kato_et_al._2019_2011.3.11corrected,0.12788726
Lower_sampling_soil_depth,0.11794571
Thickness_type_litter_encoded,0.110270806
Minimum_inv,0.11023643
Tree_density,0.10722056
Distance_from_FDNPP,0.105789706
Leaf/ring_age_encoded,0.10572376
MEXT_Cs137_2011.3.11.corrected,0.10070348
Variance_act,0.10006597
Diameter_at_breast_height,0.09931645
Longitude_(deg),0.09771763
Height_Elevation,0.096752554
MEXT_Cs134,0.09526813
Tag,0.09346361
N_sample_act,0.09328151
Corrected_month,0.09312299
modMEXT_Cs137_by_Kato_et_al._2019,0.09306519
Mushroom_animal_name_encoded,0.092466
Elevation,0.08900659
Sampling_year,0.08844172
MEXT_dose,0.0882352
Variance_inv,0.087780714
Upper_sampling_soil_depth,0.0877339
Longitude_(sec),0.086385995
Corrected_year,0.08601082
Position_on_slope_encoded,0.08579657
Stand_age,0.08493497
MEXT_Cs137,0.08379731
Latitude_(min),0.0821111
Thickness_type_litter,0.08170848
Mushroom_animal_scientific_name_encoded,0.08150829
Elevation_NLNI,0.0807875
Site_name,0.07939805
Variance_type_inv_encoded,0.07926169
Longitude_(min),0.07916375
Parts_animal_encoded,0.07898319
Corrected_day,0.07811424
Upper_sampling_height,0.07747929
Maximum_inv,0.076866746
LAI,0.07664805
Leaf_habit_encoded,0.07585085
Lower_sampling_height,0.075832054
Sampling_day,0.075673744
Inventory_Soil_Tag,0.074652985
Minimum_act,0.07431487
Wild_Grown_mushroom_encoded,0.07315477
Slope_aspect_encoded,0.07142297
Leaf/ring_age,0.07065354
Middle_sampling_height,0.070585944
Tree_height,0.07003499
Year_published,0.06967735
Mean_annual_precipitation,0.06915599
Sampling_month,0.06813564
N_inv,0.06639468
Mean_annual_temperature,0.06440484
Japan_mesh_code,0.06413781
Latitude_(sec),0.06346867
Total_biomass,0.06316573
Latitude_(deg),0.06202274
